Wall time,Step,Value
1697472367.8695197,0,541.1900024414062
1697472421.239367,4096,485.19427490234375
1697472461.4269917,8192,614.5645141601562
1697472516.4970622,12288,578.465087890625
1697472559.0660098,16384,630.805908203125
1697472605.9726894,20480,654.8703002929688
1697472647.9731646,24576,650.5828247070312
1697472700.4981859,28672,610.769775390625
1697472748.2179885,32768,652.425537109375
1697472793.5359712,36864,585.6533203125
1697472837.7893088,40960,605.1083984375
1697472887.0254896,45056,562.4451904296875
1697472937.054246,49152,437.8645935058594
1697472979.4491532,53248,559.502197265625
1697473026.5356963,57344,419.0105285644531
1697473071.4659958,61440,459.4290466308594
1697473125.2902334,65536,260.32391357421875
1697473164.75231,69632,247.65960693359375
1697473214.8111558,73728,159.6453857421875
1697473257.6541948,77824,188.66778564453125
1697473313.9317482,81920,213.8067169189453
1697473353.2256606,86016,182.185302734375
1697473402.5454514,90112,208.43247985839844
1697473443.0971985,94208,222.24464416503906
1697473497.8701644,98304,274.5155029296875
1697473541.3961778,102400,208.95989990234375
1697473588.438127,106496,270.6520690917969
1697473630.7816026,110592,222.2722625732422
1697473682.5407622,114688,314.4939270019531
1697473730.0168698,118784,208.2225799560547
1697473774.6584542,122880,211.724853515625
1697473819.0424678,126976,170.4702911376953
1697473867.9766898,131072,160.49705505371094
1697473919.3699248,135168,178.3014373779297
1697473961.7615995,139264,149.65245056152344
1697474008.4234295,143360,167.2479248046875
1697474054.064356,147456,168.14990234375
1697474106.422909,151552,152.54144287109375
1697474150.7246928,155648,153.15707397460938
1697474194.7370167,159744,198.91629028320312
1697474231.4454916,163840,172.85691833496094
1697474282.708238,167936,164.1714630126953
1697474319.2403777,172032,192.24148559570312
1697474361.072726,176128,204.30458068847656
1697474398.8134825,180224,278.9636535644531
1697474441.3614962,184320,292.91656494140625
1697474488.2750094,188416,193.096923828125
1697474523.2807653,192512,161.587646484375
1697474568.8090818,196608,182.6535186767578
1697474603.840603,200704,144.4623260498047
1697474654.0213919,204800,193.14617919921875
1697474693.1773942,208896,157.35662841796875
1697474732.3725026,212992,155.26956176757812
1697474772.9983323,217088,209.87692260742188
1697474812.3045304,221184,157.8685302734375
1697474861.9705222,225280,144.1387176513672
1697474897.007878,229376,149.16976928710938
1697474942.2945037,233472,136.9196319580078
1697474977.428565,237568,220.26304626464844
1697475024.5106916,241664,202.5118408203125
1697475067.3904107,245760,191.8130645751953
1697475104.7764056,249856,234.5020294189453
1697475147.8690605,253952,235.27452087402344
1697475185.6194918,258048,192.55958557128906
1697475236.240928,262144,154.0023193359375
1697475272.1446104,266240,155.7814483642578
1697475313.8256693,270336,237.94334411621094
1697475351.9001381,274432,221.93592834472656
1697475395.1965055,278528,289.46136474609375
1697475442.137935,282624,240.49264526367188
1697475477.507858,286720,261.7125549316406
1697475522.5516016,290816,287.8277587890625
1697475557.444355,294912,290.7491455078125
1697475607.508315,299008,275.49273681640625
1697475646.362219,303104,239.48626708984375
1697475684.648696,307200,160.7869873046875
1697475725.5660183,311296,160.11380004882812
1697475764.0368934,315392,151.92990112304688
1697475814.3308253,319488,172.76319885253906
1697475849.0891907,323584,154.5393524169922
1697475892.4240148,327680,185.397705078125
1697475929.4400206,331776,188.6316375732422
1697475973.835513,335872,225.1268768310547
1697476019.6958838,339968,171.0141143798828
1697476055.8886595,344064,272.1958923339844
1697476099.9012396,348160,289.9969177246094
1697476135.46521,352256,268.96728515625
1697476185.7970965,356352,295.1445007324219
1697476224.482822,360448,289.59368896484375
1697476264.3807113,364544,287.5615234375
1697476304.021919,368640,329.927490234375
1697476343.9596217,372736,303.0884094238281
1697476392.8249462,376832,262.70404052734375
1697476427.6531959,380928,313.4034729003906
1697476472.8808317,385024,304.83551025390625
1697476508.325751,389120,338.7983703613281
1697476555.843003,393216,374.3091125488281
1697476598.985005,397312,350.71820068359375
1697476637.0623736,401408,318.8846130371094
1697476679.4297945,405504,324.20635986328125
1697476717.2253318,409600,328.0001525878906
1697476767.514328,413696,331.5436096191406
1697476802.8419406,417792,353.8362121582031
1697476844.7297876,421888,368.3887939453125
1697476882.2657592,425984,335.2310485839844
1697476925.3629794,430080,324.2470397949219
1697476972.1555219,434176,341.44781494140625
1697477007.1496427,438272,354.9503479003906
1697477052.5503204,442368,378.1404113769531
1697477087.5882452,446464,349.7214050292969
1697477137.6117368,450560,347.6685791015625
1697477177.5860627,454656,352.4100646972656
1697477216.5779858,458752,382.5434265136719
1697477257.622307,462848,406.38934326171875
1697477297.4921253,466944,379.05389404296875
1697477346.980454,471040,379.0934753417969
1697477382.0241487,475136,363.9057922363281
1697477427.1472197,479232,366.0733947753906
1697477462.2425249,483328,376.990966796875
1697477509.9299476,487424,383.56085205078125
1697477552.3118718,491520,367.93212890625
1697477590.3254728,495616,385.3506774902344
1697477631.744526,499712,381.4761657714844
1697477669.6527224,503808,377.28564453125
1697477719.235345,507904,350.3584289550781
1697477754.5317314,512000,370.7867736816406
1697477797.1859102,516096,368.5755615234375
1697477834.3590639,520192,372.51611328125
1697477877.7587652,524288,352.546630859375
1697477924.3537517,528384,321.5605163574219
1697477959.9697378,532480,338.1612854003906
1697478003.881199,536576,320.6427001953125
1697478038.9828515,540672,308.9335021972656
1697478090.1007235,544768,345.4855651855469
1697478128.446124,548864,352.00677490234375
1697478169.0776148,552960,352.4433898925781
1697478208.6307733,557056,332.3788757324219
1697478250.0187793,561152,355.14349365234375
1697478297.5091047,565248,350.5290222167969
1697478332.4938521,569344,382.80474853515625
1697478378.102997,573440,395.63409423828125
1697478413.1467118,577536,415.4906311035156
1697478461.6728506,581632,373.7565002441406
1697478504.04054,585728,325.84674072265625
1697478542.0909932,589824,349.3461608886719
1697478583.5837562,593920,357.32611083984375
1697478621.6801157,598016,320.7135314941406
1697478671.9619563,602112,298.7535400390625
1697478707.4688785,606208,296.7668762207031
1697478743.5000494,610304,320.0442810058594
1697478785.301135,614400,363.6412048339844
1697478819.6352894,618496,443.00604248046875
1697478865.8467662,622592,394.531005859375
1697478907.7554889,626688,380.8478088378906
1697478940.9606225,630784,347.3697509765625
1697478983.9877324,634880,361.2200012207031
1697479018.9270165,638976,369.2110290527344
1697479057.320055,643072,351.6629333496094
1697479106.2684708,647168,360.81060791015625
1697479140.7258701,651264,323.7235107421875
1697479179.2799096,655360,350.07586669921875
1697479219.4959152,659456,348.9263000488281
1697479253.9547172,663552,336.6407165527344
1697479303.3638983,667648,366.15533447265625
1697479341.820088,671744,369.4297790527344
1697479378.2283292,675840,411.7601318359375
1697479420.7926855,679936,360.81048583984375
1697479455.5532415,684032,365.9266052246094
1697479503.4852166,688128,406.555908203125
1697479545.1148958,692224,382.6867370605469
1697479579.450297,696320,492.65924072265625
1697479624.0908964,700416,448.88299560546875
1697479658.6865199,704512,380.21142578125
1697479701.7808943,708608,399.2367858886719
1697479746.9486098,712704,398.927490234375
1697479781.1343489,716800,445.77471923828125
1697479823.3574684,720896,380.9882507324219
1697479859.6815014,724992,382.0183410644531
1697479897.8524482,729088,442.5426940917969
1697479946.8094366,733184,393.4543762207031
1697479981.3718889,737280,397.54754638671875
1697480019.9859345,741376,389.9105529785156
1697480059.7508032,745472,379.8661193847656
