video,user,trace,qoe_w1,qoe_w2,qoe_w3,qoe,qoe1,qoe2,qoe3
21,14,33,3.0,3.0,3.0,-0.69642,0.53361,2.18446,0.43842
21,14,16,7.0,1.0,1.0,0.28128,0.50521,0.58826,0.41666
21,14,16,1.0,7.0,1.0,-0.41682,0.41873,0.54618,0.34684
21,14,16,1.0,1.0,7.0,-0.32731,0.54158,0.6507,0.40524
21,14,16,3.0,3.0,3.0,-0.18066,0.54432,0.60098,0.48533
21,14,23,7.0,1.0,1.0,0.30688,0.46768,0.07342,0.43842
21,14,23,1.0,7.0,1.0,-0.06007,0.45069,0.08137,0.42171
21,14,23,1.0,1.0,7.0,-0.22577,0.34448,0.06544,0.33014
21,14,23,3.0,3.0,3.0,-0.02661,0.47165,0.06689,0.4846
21,14,13,7.0,1.0,1.0,0.33836,0.52342,0.15051,0.4682
21,14,13,1.0,7.0,1.0,-0.10062,0.50117,0.15044,0.35365
21,14,13,1.0,1.0,7.0,-0.31705,0.54008,0.14191,0.46452
21,14,13,3.0,3.0,3.0,-0.04681,0.47206,0.10186,0.51062
21,14,28,7.0,1.0,1.0,0.27924,0.5183,0.58013,0.53479
21,14,28,1.0,7.0,1.0,-0.4559,0.47497,0.58474,0.48488
21,14,28,1.0,1.0,7.0,-0.32233,0.54573,0.63894,0.40111
21,14,28,3.0,3.0,3.0,-0.15703,0.57312,0.62442,0.41978
21,14,27,7.0,1.0,1.0,0.29936,0.47437,0.25944,0.36688
21,14,27,1.0,7.0,1.0,-0.15629,0.47989,0.20951,0.42
21,14,27,1.0,1.0,7.0,-0.32271,0.54392,0.29996,0.44976
21,14,27,3.0,3.0,3.0,-0.04689,0.59514,0.2879,0.44791
21,14,34,7.0,1.0,1.0,0.34029,0.49912,0.0,0.43126
21,14,34,1.0,7.0,1.0,0.01518,0.53032,0.0,0.39367
21,14,34,1.0,1.0,7.0,-0.26088,0.48557,0.0,0.40478
21,14,34,3.0,3.0,3.0,0.01809,0.44293,0.0,0.38866
21,24,31,7.0,1.0,1.0,0.30107,0.51512,0.38171,0.51445
21,24,31,1.0,7.0,1.0,-0.13935,0.45683,0.17686,0.47293
21,24,31,1.0,1.0,7.0,-0.39677,0.50066,0.39559,0.52514
21,24,31,3.0,3.0,3.0,-0.11126,0.40647,0.28236,0.45788
21,24,33,7.0,1.0,1.0,0.09941,0.50509,2.1882,0.45274
21,24,33,1.0,7.0,1.0,-1.21758,0.42916,1.56314,0.44541
21,24,33,1.0,1.0,7.0,-0.53693,0.46659,2.07386,0.46072
21,24,33,3.0,3.0,3.0,-0.48587,0.3641,1.40447,0.41724
21,24,16,7.0,1.0,1.0,0.25434,0.47234,0.54248,0.47487
21,24,16,1.0,7.0,1.0,-0.37559,0.41566,0.48423,0.40637
21,24,16,1.0,1.0,7.0,-0.39911,0.50817,0.56106,0.50559
21,24,16,3.0,3.0,3.0,-0.16248,0.37717,0.48762,0.37698
21,24,23,7.0,1.0,1.0,0.25672,0.40197,0.08601,0.41729
21,24,23,1.0,7.0,1.0,-0.07027,0.42788,0.08931,0.43515
21,24,23,1.0,1.0,7.0,-0.31715,0.44462,0.08145,0.45964
21,24,23,3.0,3.0,3.0,-0.01817,0.50732,0.07703,0.4848
21,24,13,7.0,1.0,1.0,0.29141,0.45959,0.11904,0.47541
21,24,13,1.0,7.0,1.0,-0.06457,0.51459,0.0871,0.48599
21,24,13,1.0,1.0,7.0,-0.26913,0.4087,0.10273,0.38974
21,24,13,3.0,3.0,3.0,-0.03163,0.47848,0.0886,0.48476
21,24,28,7.0,1.0,1.0,0.2818,0.49326,0.46226,0.45435
21,24,28,1.0,7.0,1.0,-0.40829,0.44681,0.51971,0.48347
21,24,28,1.0,1.0,7.0,-0.23442,0.30434,0.47746,0.27667
21,24,28,3.0,3.0,3.0,-0.15681,0.36814,0.44117,0.39741
21,24,27,7.0,1.0,1.0,0.29801,0.48169,0.22015,0.46957
21,24,27,1.0,7.0,1.0,-0.17969,0.40294,0.234,0.38218
21,24,27,1.0,1.0,7.0,-0.3917,0.46374,0.20962,0.53991
21,24,27,3.0,3.0,3.0,-0.08025,0.4029,0.23785,0.4058
21,24,34,7.0,1.0,1.0,0.33262,0.50035,0.0,0.50889
21,24,34,1.0,7.0,1.0,0.0006,0.40048,0.0,0.39507
21,24,34,1.0,1.0,7.0,-0.26425,0.50026,0.0,0.41121
21,24,34,3.0,3.0,3.0,-0.00214,0.46134,0.00758,0.46019
21,32,31,7.0,1.0,1.0,0.22895,0.4171,0.37561,0.48351
21,32,31,1.0,7.0,1.0,-0.31703,0.41438,0.40221,0.45217
21,32,31,1.0,1.0,7.0,-0.32421,0.46665,0.40583,0.42552
21,32,31,3.0,3.0,3.0,-0.13375,0.39842,0.43178,0.36789
21,32,33,7.0,1.0,1.0,0.09409,0.49637,2.13484,0.49293
21,32,33,1.0,7.0,1.0,-1.45458,0.48821,1.87017,0.48817
21,32,33,1.0,1.0,7.0,-0.48432,0.43526,1.96311,0.40444
21,32,33,3.0,3.0,3.0,-0.58269,0.38857,1.71972,0.41692
21,32,16,7.0,1.0,1.0,0.24324,0.45942,0.66841,0.35835
21,32,16,1.0,7.0,1.0,-0.4337,0.3965,0.55094,0.4432
21,32,16,1.0,1.0,7.0,-0.34744,0.41976,0.53198,0.43067
21,32,16,3.0,3.0,3.0,-0.19852,0.42798,0.55025,0.47328
21,32,23,7.0,1.0,1.0,0.21875,0.34901,0.06351,0.41077
21,32,23,1.0,7.0,1.0,-0.05434,0.31722,0.05856,0.39635
21,32,23,1.0,1.0,7.0,-0.2918,0.55411,0.10922,0.43872
21,32,23,3.0,3.0,3.0,-0.04677,0.44026,0.06397,0.51662
21,32,13,7.0,1.0,1.0,0.3195,0.4896,0.12044,0.43123
21,32,13,1.0,7.0,1.0,-0.09962,0.49894,0.12658,0.50944
21,32,13,1.0,1.0,7.0,-0.2946,0.41636,0.08448,0.42618
21,32,13,3.0,3.0,3.0,-0.02095,0.45545,0.07193,0.44635
21,32,28,7.0,1.0,1.0,0.24405,0.45831,0.58315,0.4285
21,32,28,1.0,7.0,1.0,-0.42953,0.43448,0.54837,0.46166
21,32,28,1.0,1.0,7.0,-0.31558,0.43897,0.59016,0.38415
21,32,28,3.0,3.0,3.0,-0.17888,0.42887,0.4808,0.48471
21,32,27,7.0,1.0,1.0,0.29436,0.48251,0.28995,0.43843
21,32,27,1.0,7.0,1.0,-0.16552,0.4461,0.21085,0.45987
21,32,27,1.0,1.0,7.0,-0.32618,0.48966,0.28676,0.44836
21,32,27,3.0,3.0,3.0,-0.08537,0.43354,0.27524,0.41442
21,32,34,7.0,1.0,1.0,0.30858,0.45533,0.00033,0.40974
21,32,34,1.0,7.0,1.0,0.00174,0.44235,0.00039,0.42399
21,32,34,1.0,1.0,7.0,-0.28811,0.42891,0.0,0.4317
21,32,34,3.0,3.0,3.0,-0.01238,0.51579,0.0,0.55295
21,40,31,7.0,1.0,1.0,0.26914,0.46937,0.37916,0.48422
21,40,31,1.0,7.0,1.0,-0.31613,0.51214,0.41596,0.44562
21,40,31,1.0,1.0,7.0,-0.30959,0.45411,0.43458,0.40083
21,40,31,3.0,3.0,3.0,-0.13833,0.54661,0.53809,0.4235
21,40,33,7.0,1.0,1.0,0.14201,0.51695,1.87727,0.46329
21,40,33,1.0,7.0,1.0,-1.37687,0.60965,1.79875,0.41023
21,40,33,1.0,1.0,7.0,-0.58008,0.55974,2.2636,0.50241
21,40,33,3.0,3.0,3.0,-0.59558,0.47134,1.80211,0.45597
21,40,16,7.0,1.0,1.0,0.28192,0.50567,0.56183,0.44052
21,40,16,1.0,7.0,1.0,-0.42542,0.48972,0.54927,0.47363
21,40,16,1.0,1.0,7.0,-0.34948,0.47626,0.55226,0.43848
21,40,16,3.0,3.0,3.0,-0.16913,0.53222,0.56724,0.47236
21,40,23,7.0,1.0,1.0,0.32369,0.4916,0.07022,0.45774
21,40,23,1.0,7.0,1.0,-0.05647,0.4188,0.06435,0.47659
21,40,23,1.0,1.0,7.0,-0.20057,0.45907,0.0732,0.313
21,40,23,3.0,3.0,3.0,-0.00326,0.49909,0.06525,0.44363
21,40,13,7.0,1.0,1.0,0.34421,0.52285,0.10113,0.46091
21,40,13,1.0,7.0,1.0,-0.0642,0.50117,0.08838,0.46026
21,40,13,1.0,1.0,7.0,-0.22083,0.45802,0.08545,0.33715
21,40,13,3.0,3.0,3.0,-0.04178,0.46941,0.11913,0.47563
21,40,28,7.0,1.0,1.0,0.29693,0.50459,0.48551,0.37419
21,40,28,1.0,7.0,1.0,-0.43407,0.53138,0.5755,0.40954
21,40,28,1.0,1.0,7.0,-0.30326,0.44809,0.52485,0.37894
21,40,28,3.0,3.0,3.0,-0.18678,0.48052,0.53878,0.50207
21,40,27,7.0,1.0,1.0,0.29799,0.49043,0.2501,0.50103
21,40,27,1.0,7.0,1.0,-0.14374,0.46923,0.17891,0.51054
21,40,27,1.0,1.0,7.0,-0.25875,0.42228,0.25879,0.35603
21,40,27,3.0,3.0,3.0,-0.07905,0.48777,0.20501,0.51991
21,40,34,7.0,1.0,1.0,0.43746,0.62852,0.00232,0.46022
21,40,34,1.0,7.0,1.0,0.00686,0.4654,0.0,0.40368
21,40,34,1.0,1.0,7.0,-0.2282,0.48919,0.0,0.36328
21,40,34,3.0,3.0,3.0,0.00182,0.4555,0.0,0.45004
21,52,31,7.0,1.0,1.0,0.24014,0.4316,0.38385,0.47611
21,52,31,1.0,7.0,1.0,-0.35384,0.44917,0.45002,0.48362
21,52,31,1.0,1.0,7.0,-0.3369,0.42468,0.39335,0.43764
21,52,31,3.0,3.0,3.0,-0.11584,0.43024,0.3846,0.39314
21,52,33,7.0,1.0,1.0,0.07113,0.49357,2.32935,0.48544
21,52,33,1.0,7.0,1.0,-1.59498,0.50936,2.0535,0.48967
21,52,33,1.0,1.0,7.0,-0.56995,0.49593,2.0948,0.50438
21,52,33,3.0,3.0,3.0,-0.67664,0.43806,2.01472,0.45327
21,52,16,7.0,1.0,1.0,0.22126,0.41989,0.55622,0.39171
21,52,16,1.0,7.0,1.0,-0.42711,0.45628,0.5518,0.43768
21,52,16,1.0,1.0,7.0,-0.3467,0.49374,0.60511,0.42985
21,52,16,3.0,3.0,3.0,-0.17595,0.48172,0.54224,0.46735
21,52,23,7.0,1.0,1.0,0.29705,0.45569,0.07551,0.44086
21,52,23,1.0,7.0,1.0,-0.08219,0.47386,0.10456,0.48168
21,52,23,1.0,1.0,7.0,-0.2872,0.49288,0.1089,0.42411
21,52,23,3.0,3.0,3.0,-0.02001,0.46675,0.07505,0.45173
21,52,13,7.0,1.0,1.0,0.34003,0.53261,0.17384,0.49412
21,52,13,1.0,7.0,1.0,-0.07769,0.43573,0.10827,0.37706
21,52,13,1.0,1.0,7.0,-0.35575,0.47022,0.133,0.50556
21,52,13,3.0,3.0,3.0,-0.03395,0.49051,0.11107,0.4813
21,52,28,7.0,1.0,1.0,0.23519,0.43663,0.50293,0.4368
21,52,28,1.0,7.0,1.0,-0.42459,0.48901,0.55366,0.43464
21,52,28,1.0,1.0,7.0,-0.38932,0.49242,0.57103,0.48933
21,52,28,3.0,3.0,3.0,-0.1641,0.49222,0.58028,0.40424
21,52,27,7.0,1.0,1.0,0.22845,0.38409,0.23532,0.39721
21,52,27,1.0,7.0,1.0,-0.18234,0.42653,0.24483,0.35384
21,52,27,1.0,1.0,7.0,-0.37294,0.57757,0.348,0.51229
21,52,27,3.0,3.0,3.0,-0.07035,0.43524,0.26032,0.38598
21,52,34,7.0,1.0,1.0,0.32936,0.49811,0.0,0.52252
21,52,34,1.0,7.0,1.0,0.00505,0.46166,0.0,0.41621
21,52,34,1.0,1.0,7.0,-0.32244,0.51576,0.0,0.48824
21,52,34,3.0,3.0,3.0,0.01271,0.52197,0.0,0.48383
21,55,31,7.0,1.0,1.0,0.22749,0.4122,0.4286,0.40944
21,55,31,1.0,7.0,1.0,-0.37661,0.46356,0.48389,0.46582
21,55,31,1.0,1.0,7.0,-0.34374,0.37621,0.45222,0.4311
21,55,31,3.0,3.0,3.0,-0.12345,0.34004,0.28484,0.42554
21,55,33,7.0,1.0,1.0,0.05919,0.41866,1.98402,0.4139
21,55,33,1.0,7.0,1.0,-1.61805,0.45048,2.07801,0.46688
21,55,33,1.0,1.0,7.0,-0.53311,0.40177,2.0061,0.45624
21,55,33,3.0,3.0,3.0,-0.71396,0.43901,2.12972,0.45117
21,55,16,7.0,1.0,1.0,0.18085,0.38062,0.55602,0.48064
21,55,16,1.0,7.0,1.0,-0.44192,0.4422,0.55875,0.50825
21,55,16,1.0,1.0,7.0,-0.43735,0.42746,0.58552,0.53973
21,55,16,3.0,3.0,3.0,-0.19919,0.42088,0.5692,0.44924
21,55,23,7.0,1.0,1.0,0.23855,0.388,0.07466,0.49437
21,55,23,1.0,7.0,1.0,-0.06466,0.46313,0.08613,0.44214
21,55,23,1.0,1.0,7.0,-0.3109,0.48866,0.09877,0.45543
21,55,23,3.0,3.0,3.0,-0.04346,0.42989,0.09255,0.46772
21,55,13,7.0,1.0,1.0,0.27839,0.44216,0.13507,0.45453
21,55,13,1.0,7.0,1.0,-0.11735,0.4447,0.13684,0.54295
21,55,13,1.0,1.0,7.0,-0.34508,0.40127,0.1097,0.48533
21,55,13,3.0,3.0,3.0,-0.06548,0.37089,0.12351,0.4438
21,55,28,7.0,1.0,1.0,0.19452,0.37928,0.51504,0.38924
21,55,28,1.0,7.0,1.0,-0.43332,0.37243,0.55148,0.41198
21,55,28,1.0,1.0,7.0,-0.39024,0.50248,0.65331,0.4802
21,55,28,3.0,3.0,3.0,-0.22916,0.42443,0.62373,0.48818
21,55,27,7.0,1.0,1.0,0.24745,0.41147,0.22933,0.42391
21,55,27,1.0,7.0,1.0,-0.1996,0.41581,0.25358,0.4371
21,55,27,1.0,1.0,7.0,-0.32694,0.36439,0.25767,0.43559
21,55,27,3.0,3.0,3.0,-0.07843,0.41036,0.2344,0.41125
21,55,34,7.0,1.0,1.0,0.2925,0.44432,0.02049,0.45724
21,55,34,1.0,7.0,1.0,-0.00801,0.37716,0.0,0.44921
21,55,34,1.0,1.0,7.0,-0.24123,0.33718,0.0,0.35832
21,55,34,3.0,3.0,3.0,-0.0168,0.34864,0.0,0.39903
21,58,31,7.0,1.0,1.0,0.2291,0.40188,0.38535,0.36588
21,58,31,1.0,7.0,1.0,-0.36373,0.41007,0.47337,0.36998
21,58,31,1.0,1.0,7.0,-0.32669,0.48151,0.45433,0.42391
21,58,31,3.0,3.0,3.0,-0.12221,0.43154,0.38067,0.41749
21,58,33,7.0,1.0,1.0,0.08807,0.45951,1.99732,0.42659
21,58,33,1.0,7.0,1.0,-1.70974,0.52933,2.20571,0.47696
21,58,33,1.0,1.0,7.0,-0.421,0.45937,1.98413,0.32347
21,58,33,3.0,3.0,3.0,-0.76833,0.58555,2.40793,0.48261
21,58,16,7.0,1.0,1.0,0.23726,0.44285,0.58803,0.37659
21,58,16,1.0,7.0,1.0,-0.43719,0.45537,0.56439,0.4394
21,58,16,1.0,1.0,7.0,-0.33431,0.38605,0.55733,0.40535
21,58,16,3.0,3.0,3.0,-0.20791,0.48716,0.61294,0.49794
21,58,23,7.0,1.0,1.0,0.36033,0.53461,0.10735,0.392
21,58,23,1.0,7.0,1.0,-0.07105,0.51899,0.09918,0.46421
21,58,23,1.0,1.0,7.0,-0.30401,0.4228,0.12813,0.43296
21,58,23,3.0,3.0,3.0,-0.01896,0.41539,0.07519,0.39709
21,58,13,7.0,1.0,1.0,0.30644,0.47333,0.14577,0.40958
21,58,13,1.0,7.0,1.0,-0.08701,0.56894,0.12646,0.4668
21,58,13,1.0,1.0,7.0,-0.2938,0.495,0.1314,0.42968
21,58,13,3.0,3.0,3.0,-0.00582,0.55163,0.15408,0.41502
21,58,28,7.0,1.0,1.0,0.23218,0.44542,0.58329,0.44501
21,58,28,1.0,7.0,1.0,-0.43211,0.49387,0.55859,0.47274
21,58,28,1.0,1.0,7.0,-0.36591,0.55684,0.60497,0.46358
21,58,28,3.0,3.0,3.0,-0.19506,0.41342,0.56161,0.437
21,58,27,7.0,1.0,1.0,0.29738,0.47844,0.25623,0.41639
21,58,27,1.0,7.0,1.0,-0.19886,0.43555,0.25463,0.44293
21,58,27,1.0,1.0,7.0,-0.35369,0.5383,0.35864,0.48041
21,58,27,3.0,3.0,3.0,-0.09076,0.39213,0.239,0.4254
21,58,34,7.0,1.0,1.0,0.37926,0.54822,0.0,0.42419
21,58,34,1.0,7.0,1.0,0.00437,0.47846,0.0,0.43917
21,58,34,1.0,1.0,7.0,-0.32274,0.48724,0.013,0.4827
21,58,34,3.0,3.0,3.0,0.02893,0.50748,0.01659,0.4041
21,60,31,7.0,1.0,1.0,0.33732,0.56662,0.46236,0.46808
21,60,31,1.0,7.0,1.0,-0.2744,0.32664,0.35047,0.3429
21,60,31,1.0,1.0,7.0,-0.33148,0.47285,0.38639,0.43854
21,60,31,3.0,3.0,3.0,-0.139,0.42199,0.43016,0.40881
21,60,33,7.0,1.0,1.0,0.08928,0.42584,1.75297,0.42435
21,60,33,1.0,7.0,1.0,-1.78822,0.52277,2.30769,0.4629
21,60,33,1.0,1.0,7.0,-0.52888,0.41471,1.94169,0.46185
21,60,33,3.0,3.0,3.0,-0.63175,0.43447,1.86692,0.46282
21,60,16,7.0,1.0,1.0,0.22993,0.44518,0.54876,0.49815
21,60,16,1.0,7.0,1.0,-0.42589,0.39815,0.53171,0.50914
21,60,16,1.0,1.0,7.0,-0.39545,0.44154,0.51171,0.49842
21,60,16,3.0,3.0,3.0,-0.17274,0.44655,0.56228,0.40248
21,60,23,7.0,1.0,1.0,0.28045,0.42353,0.06505,0.37559
21,60,23,1.0,7.0,1.0,-0.07473,0.42178,0.09325,0.44158
21,60,23,1.0,1.0,7.0,-0.29523,0.45704,0.07066,0.43478
21,60,23,3.0,3.0,3.0,-0.0287,0.36279,0.06217,0.38672
21,60,13,7.0,1.0,1.0,0.24315,0.39068,0.1208,0.42557
21,60,13,1.0,7.0,1.0,-0.10006,0.51769,0.12408,0.54966
21,60,13,1.0,1.0,7.0,-0.33236,0.54482,0.16348,0.4818
21,60,13,3.0,3.0,3.0,-0.04501,0.40864,0.08975,0.45393
21,60,28,7.0,1.0,1.0,0.20244,0.39868,0.5301,0.43867
21,60,28,1.0,7.0,1.0,-0.45375,0.56451,0.59058,0.51418
21,60,28,1.0,1.0,7.0,-0.39459,0.46553,0.57105,0.49226
21,60,28,3.0,3.0,3.0,-0.19218,0.39477,0.50975,0.46158
21,60,27,7.0,1.0,1.0,0.24337,0.42455,0.25906,0.52248
21,60,27,1.0,7.0,1.0,-0.15028,0.43912,0.19879,0.40004
21,60,27,1.0,1.0,7.0,-0.346,0.42018,0.23671,0.47107
21,60,27,3.0,3.0,3.0,-0.06955,0.49601,0.23142,0.47325
21,60,34,7.0,1.0,1.0,0.28003,0.42215,0.0,0.43484
21,60,34,1.0,7.0,1.0,-0.00368,0.45028,0.0,0.48342
21,60,34,1.0,1.0,7.0,-0.29455,0.44664,0.00081,0.44239
21,60,34,3.0,3.0,3.0,-0.01438,0.45777,0.0,0.5009
21,11,31,7.0,1.0,1.0,0.26005,0.47456,0.45118,0.53031
21,11,31,1.0,7.0,1.0,-0.34066,0.48252,0.44635,0.42401
21,11,31,1.0,1.0,7.0,-0.30056,0.47396,0.42096,0.39401
21,11,31,3.0,3.0,3.0,-0.12711,0.49511,0.43777,0.43867
21,11,33,7.0,1.0,1.0,0.16518,0.57957,2.18839,0.38194
21,11,33,1.0,7.0,1.0,-1.84464,0.55953,2.38893,0.43877
21,11,33,1.0,1.0,7.0,-0.50018,0.40889,1.80064,0.44427
21,11,33,3.0,3.0,3.0,-0.69287,0.46815,2.08232,0.46444
21,11,16,7.0,1.0,1.0,0.2404,0.45071,0.59508,0.39627
21,11,16,1.0,7.0,1.0,-0.44367,0.50213,0.57381,0.47843
21,11,16,1.0,1.0,7.0,-0.39432,0.44447,0.57771,0.48795
21,11,16,3.0,3.0,3.0,-0.18715,0.45537,0.57847,0.43835
21,11,23,7.0,1.0,1.0,0.32701,0.50656,0.12609,0.47675
21,11,23,1.0,7.0,1.0,-0.05031,0.51358,0.0745,0.44483
21,11,23,1.0,1.0,7.0,-0.28018,0.42212,0.10239,0.4059
21,11,23,3.0,3.0,3.0,0.02017,0.53933,0.08725,0.39158
21,11,13,7.0,1.0,1.0,0.32735,0.50762,0.08811,0.51904
21,11,13,1.0,7.0,1.0,-0.07963,0.44349,0.10796,0.40451
21,11,13,1.0,1.0,7.0,-0.29409,0.46156,0.11115,0.42817
21,11,13,3.0,3.0,3.0,-0.02011,0.51704,0.12725,0.45011
21,11,28,7.0,1.0,1.0,0.25949,0.48198,0.57341,0.46503
21,11,28,1.0,7.0,1.0,-0.40025,0.46101,0.51762,0.43989
21,11,28,1.0,1.0,7.0,-0.35027,0.49535,0.57913,0.43837
21,11,28,3.0,3.0,3.0,-0.19206,0.41228,0.52075,0.46769
21,11,27,7.0,1.0,1.0,0.30179,0.47656,0.27142,0.34838
