video,user,trace,qoe_w1,qoe_w2,qoe_w3,qoe,qoe1,qoe2,qoe3
13,16,10,1.0,7.0,1.0,-0.83173,0.60112,1.09578,0.41625
15,20,2,1.0,1.0,7.0,-0.45006,0.46426,1.78981,0.38929
17,21,3,3.0,3.0,3.0,-0.27352,0.51415,0.84694,0.48777
18,46,25,7.0,1.0,1.0,0.21273,0.47911,1.10378,0.33536
19,48,14,1.0,7.0,1.0,-0.10171,0.52555,0.14252,0.44334
20,51,15,1.0,1.0,7.0,-0.41114,0.48111,1.3762,0.40074
22,53,0,3.0,3.0,3.0,-0.03602,0.42946,0.11101,0.42652
23,2,36,7.0,1.0,1.0,0.12657,0.43658,1.41756,0.49937
24,5,17,1.0,7.0,1.0,-1.50021,0.47962,1.93587,0.43045
1,6,8,1.0,1.0,7.0,-0.33752,0.4244,0.09055,0.48164
2,7,19,3.0,3.0,3.0,-0.05117,0.5293,0.25568,0.42714
3,12,11,7.0,1.0,1.0,0.28149,0.42032,0.0,0.40879
4,19,35,1.0,7.0,1.0,-0.02046,0.48475,0.02413,0.49995
6,25,21,1.0,1.0,7.0,-0.30471,0.5345,0.0,0.46812
8,26,5,3.0,3.0,3.0,-0.03665,0.50361,0.17159,0.44197
9,28,26,7.0,1.0,1.0,0.35326,0.50845,0.00429,0.37551
10,33,24,1.0,7.0,1.0,-2.57431,0.48067,3.31532,0.4422
11,36,4,1.0,1.0,7.0,-0.54509,0.54936,2.68541,0.39568
13,38,9,3.0,3.0,3.0,-0.50267,0.51996,1.55338,0.47461
15,47,39,7.0,1.0,1.0,0.17501,0.62574,2.32929,0.47575
17,8,29,1.0,7.0,1.0,-0.99695,0.43331,1.28618,0.40259
18,15,30,1.0,1.0,7.0,-0.35063,0.39774,1.12297,0.3472
19,18,1,3.0,3.0,3.0,-0.15644,0.46345,0.55399,0.37878
20,29,12,7.0,1.0,1.0,0.08086,0.48591,2.24038,0.43329
22,31,10,1.0,7.0,1.0,-0.00285,0.40278,0.0,0.42841
23,34,2,1.0,1.0,7.0,-0.38783,0.44314,1.77673,0.30812
24,35,3,3.0,3.0,3.0,-0.51376,0.45422,1.6022,0.39329
1,41,25,7.0,1.0,1.0,0.36301,0.5199,0.0,0.37221
2,45,14,1.0,7.0,1.0,-0.36352,0.52544,0.47399,0.47915
3,49,15,1.0,1.0,7.0,-0.30436,0.51314,0.0,0.46462
4,50,0,3.0,3.0,3.0,0.01261,0.42425,0.0,0.38642
6,54,36,7.0,1.0,1.0,0.28894,0.4697,0.2459,0.44157
8,4,17,1.0,7.0,1.0,-0.51775,0.4998,0.67484,0.43567
9,17,8,1.0,1.0,7.0,-0.44918,0.47697,0.72682,0.54182
10,37,19,3.0,3.0,3.0,-0.30309,0.51298,1.02909,0.39316
11,43,11,7.0,1.0,1.0,0.25622,0.49289,0.75873,0.38549
13,22,35,1.0,7.0,1.0,-0.11828,0.48889,0.16135,0.42397
15,27,21,1.0,1.0,7.0,-0.38487,0.44807,0.76824,0.44909
